1000,0.037701
2000,0.0594142
3000,0.0933398
4000,0.120830799
5000,0.123750799
6000,0.159980199
7000,0.247612303
8000,0.242340602
9000,0.215639999
10000,0.219537701
11000,0.285927294
12000,0.291754901
13000,0.313858399
14000,0.355132401
15000,0.354555301
16000,0.376849901
17000,0.401825301
18000,0.434705798
19000,0.450795997
20000,0.469048597
21000,0.495680403
22000,0.517021999
23000,0.563903101
24000,0.575429093
25000,0.606774405
26000,0.631727304
27000,0.660811797
28000,0.682328999
29000,0.707105808
30000,0.736553296
31000,0.777794994
32000,0.797605887
33000,0.834727898
34000,0.914569609
35000,0.889161207
36000,0.92072729
37000,0.932859898
38000,0.963939697
39000,0.987244196
40000,1.035268627
41000,1.054236993
42000,1.056504481
43000,1.096926317
44000,1.130270377
45000,1.147000425
46000,1.177672289
47000,1.195024915
48000,1.248897381
49000,1.27175042
50000,1.300277106
60000,1.640720829
70000,1.882313818
80000,2.165092722
90000,2.442508906
100000,2.835629985
